Host_Time_s,Raw_Data_Line
1765390595.843383,335
1765390595.843427,273
1765390595.874356,402
1765390595.874561,297
1765390595.874770,348
1765390595.904322,379
1765390595.904372,408
1765390595.904626,442
1765390595.934252,443
1765390595.934415,479
1765390595.934591,508
1765390595.964449,466
1765390595.964491,819
1765390595.964538,888
1765390595.993302,964
1765390595.993344,1018
1765390595.993518,1106
1765390596.021482,1142
1765390596.023986,1117
1765390596.024186,1105
1765390596.054243,1203
1765390596.054288,1148
1765390596.054341,1219
1765390596.084202,1200
1765390596.084242,1365
1765390596.084456,1313
1765390596.114401,1392
1765390596.114436,1443
1765390596.114702,1465
1765390596.144250,1347
1765390596.144485,1433
1765390596.144533,1355
1765390596.173479,1530
1765390596.173804,1538
1765390596.173856,1586
1765390596.203475,1561
1765390596.203897,1639
1765390596.203959,1583
1765390596.234382,1682
1765390596.234708,1715
1765390596.234793,1723
1765390596.264205,1702
1765390596.264556,1773
1765390596.264594,1716
1765390596.293343,1831
1765390596.293473,1810
1765390596.293725,1856
1765390596.321325,1861
1765390596.323332,1890
1765390596.323371,1898
1765390596.351248,2034
1765390596.353223,2084
1765390596.353270,2094
1765390596.381389,2089
1765390596.383421,2193
1765390596.383510,2196
1765390596.413472,2173
1765390596.413527,2223
1765390596.413775,2372
1765390596.441389,2227
1765390596.443340,2422
1765390596.443396,2342
1765390596.471417,2366
1765390596.473170,2467
1765390596.473203,2516
1765390596.501456,2479
1765390596.503328,2532
1765390596.503358,2557
1765390596.531341,2635
1765390596.533319,2698
1765390596.533351,2707
1765390596.564244,2647
1765390596.564501,2802
1765390596.564562,2721
1765390596.593175,2890
1765390596.593283,2838
1765390596.593435,2935
1765390596.621309,2838
1765390596.624048,3013
1765390596.624098,2903
1765390596.654225,2961
1765390596.654271,2937
1765390596.654425,3054
1765390596.684335,2958
1765390596.684389,2998
1765390596.684610,2880
1765390596.713677,2996
1765390596.713744,2990
1765390596.714058,3056
1765390596.741492,3041
1765390596.743400,3041
1765390596.743535,3058
1765390596.771455,3100
1765390596.773267,3078
1765390596.773299,3141
1765390596.801480,3074
1765390596.803541,3283
1765390596.803576,3163
1765390596.831645,3265
1765390596.833184,3211
1765390596.833227,3257
1765390596.861431,3181
1765390596.863410,3200
1765390596.863459,3322
1765390596.893407,3367
1765390596.893516,3318
1765390596.893775,3455
1765390596.923419,3408
1765390596.923472,3497
1765390596.923501,3420
1765390596.951773,3520
1765390596.953303,3508
1765390596.953326,3613
1765390596.982120,3582
1765390596.984273,3714
1765390596.984316,3653
1765390597.041696,3687
1765390597.043251,3631
1765390597.043293,3672
1765390597.045435,3597
1765390597.045464,3598
1765390597.045489,3578
1765390597.074373,3622
1765390597.074736,3512
1765390597.074768,3526
1765390597.103555,3479
1765390597.103689,3503
1765390597.103969,3448
1765390597.131347,3535
1765390597.133169,3490
1765390597.133244,3525
1765390597.161395,3507
1765390597.163295,3448
1765390597.163337,3438
1765390597.192023,3302
1765390597.193985,3174
1765390597.194025,3111
1765390597.223340,2966
1765390597.223395,2851
1765390597.223694,2685
1765390597.251746,2558
1765390597.253256,2324
1765390597.253286,2268
1765390597.281963,2079
1765390597.284221,1994
1765390597.284413,1788
1765390597.313444,1761
1765390597.313500,1577
1765390597.313750,1461
1765390597.341413,1299
1765390597.343406,1232
1765390597.343438,988
1765390597.371981,908
1765390597.373192,735
1765390597.373228,583
1765390597.401725,565
1765390597.403175,517
1765390597.403218,411
1765390597.431415,381
1765390597.433222,318
1765390597.433264,351
1765390597.461183,302
1765390597.463400,313
1765390597.463572,244
1765390597.491820,374
1765390597.493977,306
1765390597.494015,392
1765390597.523432,377
1765390597.523482,539
1765390597.523755,491
1765390597.551442,598
1765390597.553250,609
1765390597.553301,717
1765390597.581984,694
1765390597.584273,809
1765390597.584302,957
1765390597.613495,1081
1765390597.613849,1103
1765390597.613923,1256
1765390597.641519,1332
1765390597.643440,1341
1765390597.643521,1372
1765390597.671539,1518
1765390597.673292,1565
1765390597.673331,1664
1765390597.702037,1682
1765390597.704260,1779
1765390597.704291,1803
1765390597.734543,1907
1765390597.734584,1935
1765390597.734815,1959
1765390597.764422,1944
1765390597.764610,2055
1765390597.764645,2025
1765390597.793197,2037
1765390597.793237,1987
1765390597.793445,2137
1765390597.821528,25072
1765390597.824017,2132
1765390597.824061,2193
1765390597.854154,2232
1765390597.854209,2255
1765390597.854374,2366
1765390597.884319,2288
1765390597.884366,2387
1765390597.884548,2367
1765390597.913562,2485
1765390597.913604,2480
1765390597.913843,2548
1765390597.941459,2641
1765390597.943337,2759
1765390597.943513,2720
1765390597.971483,2867
1765390597.973253,2810
1765390597.973286,2926
1765390598.001875,2923
1765390598.003241,3036
1765390598.003293,3118
1765390598.031478,3170
1765390598.033314,3168
1765390598.033356,3246
1765390598.061389,3350
1765390598.063303,3407
1765390598.063357,3487
1765390598.091668,3515
1765390598.093120,3557
1765390598.093165,3532
1765390598.121359,3597
1765390598.123293,3544
1765390598.123337,3625
1765390598.151429,3635
1765390598.153228,3663
1765390598.153274,3729
1765390598.181451,3770
1765390598.183115,3735
1765390598.211409,3773
1765390598.213357,3795
1765390598.213409,3959
1765390598.241428,3960
1765390598.243399,3942
1765390598.243441,3879
1765390598.271473,3906
1765390598.273395,3832
1765390598.273441,3869
1765390598.301963,3772
1765390598.303214,3645
1765390598.303263,3615
1765390598.331444,3412
1765390598.333180,3227
1765390598.333220,3147
1765390598.361364,2986
1765390598.363333,3012
1765390598.363374,2869
1765390598.391743,2887
1765390598.393961,2752
1765390598.394003,2636
1765390598.424210,2564
1765390598.424245,2500
1765390598.424368,2273
1765390598.453296,25202
1765390598.453562,2035
1765390598.453610,1984
1765390598.483530,1895
1765390598.483615,1762
1765390598.483839,1615
1765390598.512096,1508
1765390598.514235,1450
1765390598.514279,1349
1765390598.543443,1173
1765390598.543807,1053
1765390598.543905,934
1765390598.571510,907
1765390598.573390,808
1765390598.573613,756
1765390598.601430,699
1765390598.603402,692
1765390598.603502,634
1765390598.631285,665
1765390598.633194,574
1765390598.633269,632
1765390598.661461,498
1765390598.663343,523
1765390598.663397,461
1765390598.691156,478
1765390598.693185,381
1765390598.693262,380
1765390598.723316,386
1765390598.723360,401
1765390598.723641,366
1765390598.751236,324
1765390598.753186,417
1765390598.753214,351
1765390598.781959,351
1765390598.783214,452
1765390598.783272,421
1765390598.811502,362
1765390598.814267,447
1765390598.814361,375
1765390598.843518,352
1765390598.843969,485
1765390598.844020,424
1765390598.871508,399
1765390598.873501,496
1765390598.873551,492
1765390598.901476,473
1765390598.903448,486
1765390598.903544,504
1765390598.931397,572
1765390598.933326,521
1765390598.933370,616
1765390598.961543,546
1765390598.963471,687
1765390598.963506,578
1765390598.991773,693
1765390598.993186,704
1765390598.993324,813
1765390599.021359,742
